Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2025-05-27,14.28898,18.20264,6.78245,20.3657,19.17877
2025-05-28,13.64282,16.94697,6.88786,19.95783,17.81769
2025-05-29,13.02415,21.00728,6.5304,19.07336,14.23399
2025-05-30,11.95637,19.0642,5.50387,15.52632,13.9132
2025-05-31,13.23495,15.52174,4.9906,13.43659,16.14041
2025-06-01,11.67682,19.37583,6.45249,17.63438,6.84203
2025-06-02,12.00678,20.93396,6.64039,19.17877,18.85798
2025-06-03,10.48072,19.94867,6.5579,16.29622,25.49379
2025-06-04,13.37702,21.06227,6.47541,18.60593,9.48169
2025-06-05,12.43297,18.53718,6.21878,14.56395,80.12006
2025-06-06,9.8758,14.82975,5.71009,12.35965,58.67742
2025-06-07,9.39003,15.99376,6.32876,12.22675,48.78786
2025-06-08,9.4771,15.06347,6.82828,16.80949,50.62554
2025-06-09,11.53476,17.86352,7.95563,22.04298,27.74849
2025-06-10,12.76293,18.35387,7.33238,19.967,44.75505
2025-06-11,11.24146,20.78273,8.00146,20.67274,27.39562
2025-06-12,12.213,19.66454,7.5936,19.61413,44.40218
2025-06-13,13.64282,18.17515,6.15003,16.47953,65.0291
2025-06-14,14.81142,15.41634,5.6001,13.64282,22.15297
2025-06-15,14.61894,15.21928,6.35167,16.44287,50.74469
2025-06-16,13.09747,17.67105,7.14449,21.96049,26.36909
2025-06-17,13.91778,19.32083,8.31767,21.0302,31.45593
2025-06-18,12.16259,19.57288,8.85843,20.4986,15.34301
2025-06-19,11.85555,19.11461,7.77691,19.51331,21.73135
2025-06-20,10.33408,16.56202,6.56248,16.96072,31.87296
2025-06-21,12.60712,14.84808,6.43875,13.96819,25.5442
2025-06-22,10.61362,14.19733,6.45249,16.04876,28.63755
2025-06-23,12.42381,16.91948,7.47445,21.19976,22.47834
2025-06-24,11.68599,17.24943,8.05187,20.06324,26.10787
2025-06-25,12.25883,18.72508,7.5386,20.81939,100.0
2025-06-26,11.03524,20.08615,7.19948,20.27404,35.99285
2025-06-27,12.00219,19.27959,6.78704,17.18528,38.67375
2025-06-28,13.69323,15.36593,6.07213,13.00123,18.52802
2025-06-29,11.24146,15.47133,6.73204,17.0203,39.40241
2025-06-30,11.96553,18.25764,7.52027,21.84592,40.60767
2025-07-01,12.1076,19.42624,7.95563,22.06589,31.68049
2025-07-02,12.02053,18.66092,8.71179,21.47472,39.13202
2025-07-03,11.36519,17.59314,8.48265,19.7012,19.7012
2025-07-04,10.62279,17.42816,7.29572,17.07529,28.01888
2025-07-05,11.10856,15.43925,6.27835,14.66477,46.1207
